AircraftType,MTOW,AssignedAircraftType
HU1,1.106,AT43
HU2,0.77,AT43
HUNT,7.0,AT43
HURK,5.67,AT43
HUSK,1.406,AT43
HYPR,0.454,AT43
IA63,5.22,AT43
IL18,81.54,A321
IL38,68.0,B734
IL62,165.0,B763
IL76,190.0,B763
IL86,215.0,A332
IL96,250.0,A332
IMPU,0.95,AT43
IR23,1.383,AT43
IR99,5.22,AT43
IS28,0.77,AT43
J10,21.773,AT76
J20,36.741,CRJX
J328,19.99,AT76
JAB2,0.599,AT43
JAB4,0.599,AT43
JABI,0.45,AT43
JAGR,21.773,AT76
JPRO,5.22,AT43
JS1,6.4,AT43
JS20,6.4,AT43
JS3,6.4,AT43
JS31,7.35,AT43
JS32,7.35,AT43
JS41,10.433,AT43
JU52,12.29,AT43
K250,1.157,AT43
K35A,140.0,B752
K35E,140.0,B752
K35R,140.0,B752
KAT3,2.31,AT43
KC2,141.4,B752
KC39,83.0,A321
KE3,152.0,B763
KEST,3.354,AT43
KFIR,21.773,AT76
KL07,1.157,AT43
KODI,3.969,AT43
KP2,0.599,AT43
KP5,0.599,AT43
KR30,0.45,AT43
KT1,3.13,AT43
L101,200.0,B763
L12,2.812,AT43
L159,6.577,AT43
L188,49.15,E190
L200,1.656,AT43
L29,5.22,AT43
L29A,20.23,AT76
L29B,20.23,AT76
L37,10.433,AT43
L39,5.22,AT43
L410,6.6,AT43
L59,5.22,AT43
L6,0.454,AT43
L60,1.157,AT43
L70,1.28,AT43
L90,2.13,AT43
LA25,1.157,AT43
LA4,1.157,AT43
LA8,1.28,AT43
LANC,20.0,AT76
LCR,0.599,AT43
LEG2,1.656,AT43
LESP,1.528,AT43
LGEZ,2.858,AT43
LJ23,5.67,AT43
LJ24,5.67,AT43
LJ25,9.3,AT43
LJ28,9.3,AT43
LJ31,9.3,AT43
LJ35,8.3,AT43
LJ40,9.3,AT43
LJ45,9.3,AT43
LJ55,10.659,AT43
LJ60,10.659,AT43
LJ70,10.432,AT43
LJ75,10.432,AT43
LJ85,18.008,AT43
LN3,0.599,AT43
LNC2,1.4,AT43
LNC4,2.984,AT43
LNCE,1.542,AT43
LNP4,2.984,AT43
LW20,0.599,AT43
LW40,1.106,AT43
LWIN,0.454,AT43
M106,0.454,AT43
M108,0.599,AT43
M10F,1.106,AT43
M10R,1.4,AT43
M15,3.402,AT43
M17,11.009,AT43
M18,1.4,AT43
M2,0.599,AT43
M200,1.656,AT43
M20P,1.528,AT43
M20T,1.528,AT43
M21,0.599,AT43
M212,1.315,AT43
M22,1.999,AT43
M24,1.157,AT43
M26,1.4,AT43
M28,7.35,AT43
M339,5.22,AT43
M345,4.5,AT43
M346,6.577,AT43
M4,1.315,AT43
M5,1.4,AT43
M55,11.009,AT43
M6,1.406,AT43
M600,2.984,AT43
M7,1.4,AT43
M7T,2.13,AT43
M8,1.315,AT43
MAGC,0.599,AT43
MC90,0.45,AT43
MCR1,0.599,AT43
MCR4,0.599,AT43
MD11,285.99,A332
MD81,67.81,B734
MD82,67.81,B734
MD83,72.575,B737
MD87,67.81,B734
MD88,67.81,B734
MD90,72.575,B737
MF17,1.23,AT43
MG15,5.22,AT43
MG21,21.773,AT76
MG23,21.773,AT76
MG25,36.741,CRJX
MG29,21.773,AT76
MG31,36.741,CRJX
MIR2,21.773,AT76
MIR4,36.741,CRJX
MIRA,21.773,AT76
MOR2,1.4,AT43
MP20,0.45,AT43
MRF1,21.773,AT76
MRJ7,42.55,CRJX
MRJ9,42.55,CRJX
MRMD,0.599,AT43
MS30,1.4,AT43
MS76,5.22,AT43
MU2,5.25,AT43
MU23,0.77,AT43
MU30,7.394,AT43
MUS2,1.4,AT43
N262,10.433,AT43
NAVI,1.28,AT43
NG5,0.599,AT43
NIM,78.3,B738
NM5,1.528,AT43
NNJA,0.599,AT43
NOMA,3.969,AT43
O1,1.406,AT43
ONE,0.599,AT43
ONEX,0.45,AT43
OSCR,1.406,AT43
P06T,1.23,AT43
P1,78.3,B738
P100,0.599,AT43
P149,1.406,AT43
P180,5.489,AT43
P2,20.0,AT76
P208,0.599,AT43
P210,1.633,AT43
P212,3.379,AT43
P28A,1.106,AT43
P28B,1.406,AT43
P28R,1.247,AT43
P28S,1.315,AT43
P28T,1.247,AT43
P28U,1.315,AT43
P3,61.0,B734
P32R,1.406,AT43
P32T,1.406,AT43
P337,1.406,AT43
P38,9.163,AT43
P39,5.67,AT43
P40,4.581,AT43
P46T,2.31,AT43
P50,0.45,AT43
P51,5.489,AT43
P60,0.599,AT43
P63,5.67,AT43
P66P,3.062,AT43
P66T,3.969,AT43
P68,1.406,AT43
P68T,2.13,AT43
P70,0.454,AT43
P750,3.402,AT43
P8,85.139,A321
P80,0.454,AT43
P82,23.133,AT76
PA11,0.45,AT43
PA12,1.106,AT43
PA14,0.599,AT43
PA16,0.599,AT43
PA18,1.406,AT43
PA20,0.45,AT43
