,nid,flight_id,flt_num,ifps_id,callsign,airline,airline_type,origin,destination,gcdistance,long_short_dist,sobt,sibt,aircraft_type,mtow,wk_tbl_cat,registration,max_seats,pax_assigned_cc,ecac_200,exclude,prev_flight_nid,source,mandatory,aircraft_id
692,51710,180213729,THY_LTBALTAI06,AA34942559,THY1GA,THY,FSC,LTBA,LTAI,262,D,2014-09-12 12:00:00,2014-09-12 12:51:00,B738,75,M,TCJHF,151,159,both,0,45709.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN205
693,51763,180213782,THY_LTBAUBBB03,AA34947429,THY3MT,THY,FSC,LTBA,UBBB,965,D,2014-09-12 12:00:00,2014-09-12 14:09:00,A321,87,M,TCJMN,168,162,dep,0,36155.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN024
694,51765,180213784,THY_UUWWLTBA03,AA34947494,THY8YT,THY,FSC,UUWW,LTBA,940,D,2014-09-12 12:00:00,2014-09-12 14:59:00,B739,80,M,TCJYH,170,172,arr,0,44208.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN016
695,51881,180213900,THY_LTFELTBA05,AA34942683,THY6FC,THY,FSC,LTFE,LTBA,230,D,2014-09-12 12:05:00,2014-09-12 13:03:00,B738,75,M,TCJGZ,151,148,both,0,48228.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN107
696,51882,180213901,THY_LTAZLTBA02,AA34942682,THY6EY,THY,FSC,LTAZ,LTBA,295,D,2014-09-12 12:05:00,2014-09-12 13:03:00,B738,75,M,TCJHB,151,131,arr,0,48230.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN226
697,51883,180213902,THY_LGAVLTBA02,AA34942686,THY5JH,THY,FSC,LGAV,LTBA,291,D,2014-09-12 12:05:00,2014-09-12 13:31:00,B738,75,M,TCJGH,151,149,both,0,47272.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN083
698,51886,180213905,THY_LTBAEDDL03,AA34942709,THY2HF,THY,FSC,LTBA,EDDL,1101,D,2014-09-12 12:05:00,2014-09-12 15:25:00,A321,87,M,TCJRE,168,175,both,0,46061.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN020
699,51887,180213906,THY_LTBAEDDF05,AA34942710,THY15Z,THY,FSC,LTBA,EDDF,1007,D,2014-09-12 12:05:00,2014-09-12 15:25:00,A321,87,M,TCJRZ,168,153,both,0,45041.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN070
700,51982,180214001,THY_LTBAEDDH03,AA34942871,THY4HG,THY,FSC,LTBA,EDDH,1074,D,2014-09-12 12:10:00,2014-09-12 15:25:00,A321,87,M,TCJRG,168,141,both,0,45516.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN021
701,52097,180214116,THY_LTFJLTFD01,AA34941717,THY7FM,THY,FSC,LTFJ,LTFD,132,D,2014-09-12 12:15:00,2014-09-12 12:53:00,B737,66,M,TCSAP,119,125,dep,0,48384.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN182
702,52111,180214130,THY_LTBALTCV01,AA34943007,THY2666,THY,FSC,LTBA,LTCV,654,D,2014-09-12 12:15:00,2014-09-12 14:20:00,A319,67,M,TCJUD,110,107,dep,0,46528.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN134
703,52112,180214131,THY_LHBPLTBA02,AA34943009,THY9VG,THY,FSC,LHBP,LTBA,565,D,2014-09-12 12:15:00,2014-09-12 14:10:00,B739,80,M,TCJYJ,170,166,both,0,46529.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,0,CSN112
704,52113,180214132,THY_LQSALTBA02,AA34943008,THY9WC,THY,FSC,LQSA,LTBA,495,D,2014-09-12 12:15:00,2014-09-12 14:09:00,B738,75,M,TCJHV,151,141,arr,0,46983.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN237
705,52115,180214134,THY_LTBALSGG02,AA34943067,THY1QM,THY,FSC,LTBA,LSGG,1033,D,2014-09-12 12:15:00,2014-09-12 15:30:00,A320,74,M,TCJPM,133,156,both,0,40598.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN228
706,52248,180214267,THY_LIPZLTBA02,AA34943166,THY7JW,THY,FSC,LIPZ,LTBA,769,D,2014-09-12 12:20:00,2014-09-12 14:45:00,A320,74,M,TCJPA,133,129,both,0,45683.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN203
707,52249,180214268,THY_LEMGLTBA01,AA34943262,THY1MB,THY,FSC,LEMG,LTBA,1571,I,2014-09-12 12:10:00,2014-09-12 16:20:00,B738,75,M,TCJVD,151,152,both,0,41406.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN125
708,52250,180214269,THY_LTCFLTFJ01,AA34943704,THY8UH,THY,FSC,LTCF,LTFJ,628,D,2014-09-12 12:20:00,2014-09-12 14:05:00,B738,75,M,TCSNI,151,146,arr,0,47582.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN155
709,52347,180214366,THY_OLBALTBA03,AA34943321,THY825,THY,FSC,OLBA,LTBA,535,D,2014-09-12 12:25:00,2014-09-12 14:20:00,A321,87,M,TCJSM,168,157,arr,0,47270.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN150
